Target,Duration (h),n (Baseline),n (Exp.),Median Cov. (Baseline),Median Cov. (Exp.),IQR Cov. (Baseline),IQR Cov. (Exp.),Raw p-value (Cov.),Â12 (Cov.),Median AUC (Baseline),Median AUC (Exp.),IQR AUC (Baseline),IQR AUC (Exp.),Raw p-value (AUC),Â12 (AUC),Union Cov. (Baseline),Union Cov. (Exp.),Execs/s (Baseline),Execs/s (Exp.),Adj. p-value (Cov.),Sig_Cov,Adj. p-value (AUC),Sig_AUC
cln,23.983333333333334,20,20,7058.5,8367.0,6.75,355.75,6.643791660419772e-08,1.0,169269.44538171554,196117.61681428592,116.17618240611046,18369.876169494382,6.795615128173358e-08,1.0,7176,15841,163.14499999999998,6.035,2.657516664167909e-07,True,2.710589533590576e-07,True
eclair,23.983333333333334,20,20,7851.5,11342.5,197.0,101.0,6.76692076784541e-08,1.0,183920.4530885916,269234.649486869,3609.4164887247025,2460.0664110015496,6.77647383397644e-08,1.0,8584,11856,28.369999999999997,3.8049999999999997,2.657516664167909e-07,True,2.710589533590576e-07,True
ldk,23.983333333333334,20,20,13318.0,15690.0,66.5,132.0,6.76692076784541e-08,1.0,318151.81727432134,370165.1354000927,1181.573153802019,4942.883137762488,6.795615128173358e-08,1.0,16327,16460,398.71500000000003,9.280000000000001,2.657516664167909e-07,True,2.710589533590576e-07,True
lnd,23.983333333333334,20,20,26118.5,26236.5,112.5,16.5,1.0587521914775153e-07,0.9925,625429.936394728,627687.7659850789,1816.1883320820052,595.2563497135416,5.1657788244971414e-06,0.9225,26305,26399,400.47,11.024999999999999,2.657516664167909e-07,True,5.1657788244971414e-06,True
