target,bug,config,trial,tte_seconds,censored
cln,send_tlvs,encrypted_bytes,6,,True
cln,send_tlvs,encrypted_bytes,7,,True
cln,send_tlvs,encrypted_bytes,8,,True
cln,send_tlvs,encrypted_bytes,9,,True
cln,send_tlvs,encrypted_bytes,10,,True
cln,send_tlvs,encrypted_bytes,12,,True
cln,send_tlvs,encrypted_bytes,11,,True
cln,send_tlvs,encrypted_bytes,13,,True
cln,send_tlvs,encrypted_bytes,14,,True
cln,send_tlvs,encrypted_bytes,15,,True
cln,send_tlvs,encrypted_bytes,17,,True
cln,send_tlvs,encrypted_bytes,16,,True
cln,send_tlvs,encrypted_bytes,18,,True
cln,send_tlvs,encrypted_bytes,19,,True
cln,send_tlvs,encrypted_bytes,20,,True
eclair,pubkey_exception,encrypted_bytes,4,70.078,False
eclair,pubkey_exception,encrypted_bytes,8,72.472,False
eclair,pubkey_exception,encrypted_bytes,2,157.679,False
eclair,pubkey_exception,encrypted_bytes,10,24.087,False
eclair,pubkey_exception,encrypted_bytes,1,187.845,False
eclair,pubkey_exception,encrypted_bytes,3,4.573,False
eclair,pubkey_exception,encrypted_bytes,7,5.431,False
eclair,pubkey_exception,encrypted_bytes,5,164.098,False
eclair,pubkey_exception,encrypted_bytes,6,106.05,False
eclair,pubkey_exception,encrypted_bytes,9,104.314,False
eclair,pubkey_exception,encrypted_bytes,14,60.267,False
eclair,pubkey_exception,encrypted_bytes,12,138.758,False
eclair,pubkey_exception,encrypted_bytes,18,59.427,False
eclair,pubkey_exception,encrypted_bytes,11,208.508,False
eclair,pubkey_exception,encrypted_bytes,20,19.27,False
eclair,pubkey_exception,encrypted_bytes,13,5.167,False
eclair,pubkey_exception,encrypted_bytes,17,6.354,False
eclair,pubkey_exception,encrypted_bytes,15,188.713,False
eclair,pubkey_exception,encrypted_bytes,16,89.082,False
eclair,pubkey_exception,encrypted_bytes,19,124.134,False
eclair,unknown_message,encrypted_bytes,5,67.561,False
eclair,unknown_message,encrypted_bytes,4,125.97,False
eclair,unknown_message,encrypted_bytes,8,104.9,False
eclair,unknown_message,encrypted_bytes,6,83.62,False
eclair,unknown_message,encrypted_bytes,9,80.59,False
eclair,unknown_message,encrypted_bytes,3,110.57,False
eclair,unknown_message,encrypted_bytes,10,107.08,False
eclair,unknown_message,encrypted_bytes,7,119.67,False
eclair,unknown_message,encrypted_bytes,2,72.63,False
eclair,unknown_message,encrypted_bytes,1,69.02,False
eclair,unknown_message,encrypted_bytes,15,77.695,False
eclair,unknown_message,encrypted_bytes,18,86.018,False
eclair,unknown_message,encrypted_bytes,14,108.334,False
eclair,unknown_message,encrypted_bytes,16,70.241,False
eclair,unknown_message,encrypted_bytes,19,95.902,False
eclair,unknown_message,encrypted_bytes,20,85.664,False
eclair,unknown_message,encrypted_bytes,13,124.944,False
eclair,unknown_message,encrypted_bytes,17,140.014,False
eclair,unknown_message,encrypted_bytes,12,63.914,False
eclair,unknown_message,encrypted_bytes,11,76.612,False
eclair,htlc_propagation,encrypted_bytes,1,,True
eclair,htlc_propagation,encrypted_bytes,3,,True
eclair,htlc_propagation,encrypted_bytes,2,,True
eclair,htlc_propagation,encrypted_bytes,4,,True
eclair,htlc_propagation,encrypted_bytes,6,,True
eclair,htlc_propagation,encrypted_bytes,7,,True
eclair,htlc_propagation,encrypted_bytes,8,,True
eclair,htlc_propagation,encrypted_bytes,9,,True
eclair,htlc_propagation,encrypted_bytes,5,,True
eclair,htlc_propagation,encrypted_bytes,10,,True
eclair,htlc_propagation,encrypted_bytes,11,,True
eclair,htlc_propagation,encrypted_bytes,12,,True
eclair,htlc_propagation,encrypted_bytes,13,,True
eclair,htlc_propagation,encrypted_bytes,14,,True
eclair,htlc_propagation,encrypted_bytes,17,,True
eclair,htlc_propagation,encrypted_bytes,16,,True
eclair,htlc_propagation,encrypted_bytes,18,,True
eclair,htlc_propagation,encrypted_bytes,19,,True
eclair,htlc_propagation,encrypted_bytes,15,,True
eclair,htlc_propagation,encrypted_bytes,20,,True
eclair,shutdown_retransmit,encrypted_bytes,1,,True
eclair,shutdown_retransmit,encrypted_bytes,3,,True
eclair,shutdown_retransmit,encrypted_bytes,2,,True
eclair,shutdown_retransmit,encrypted_bytes,4,,True
eclair,shutdown_retransmit,encrypted_bytes,5,,True
eclair,shutdown_retransmit,encrypted_bytes,6,,True
eclair,shutdown_retransmit,encrypted_bytes,8,,True
eclair,shutdown_retransmit,encrypted_bytes,7,,True
eclair,shutdown_retransmit,encrypted_bytes,9,,True
eclair,shutdown_retransmit,encrypted_bytes,10,,True
eclair,shutdown_retransmit,encrypted_bytes,11,,True
eclair,shutdown_retransmit,encrypted_bytes,13,,True
eclair,shutdown_retransmit,encrypted_bytes,12,,True
eclair,shutdown_retransmit,encrypted_bytes,14,,True
eclair,shutdown_retransmit,encrypted_bytes,15,,True
eclair,shutdown_retransmit,encrypted_bytes,16,,True
eclair,shutdown_retransmit,encrypted_bytes,18,,True
eclair,shutdown_retransmit,encrypted_bytes,17,,True
eclair,shutdown_retransmit,encrypted_bytes,19,,True
eclair,shutdown_retransmit,encrypted_bytes,20,,True
ldk,annsig_panic,encrypted_bytes,1,,True
ldk,annsig_panic,encrypted_bytes,2,,True
ldk,annsig_panic,encrypted_bytes,3,,True
ldk,annsig_panic,encrypted_bytes,4,,True
ldk,annsig_panic,encrypted_bytes,5,,True
ldk,annsig_panic,encrypted_bytes,6,,True
ldk,annsig_panic,encrypted_bytes,7,,True
ldk,annsig_panic,encrypted_bytes,8,,True
ldk,annsig_panic,encrypted_bytes,9,,True
ldk,annsig_panic,encrypted_bytes,10,,True
ldk,annsig_panic,encrypted_bytes,11,,True
ldk,annsig_panic,encrypted_bytes,12,,True
ldk,annsig_panic,encrypted_bytes,13,,True
ldk,annsig_panic,encrypted_bytes,15,,True
ldk,annsig_panic,encrypted_bytes,14,,True
ldk,annsig_panic,encrypted_bytes,16,,True
ldk,annsig_panic,encrypted_bytes,18,,True
ldk,annsig_panic,encrypted_bytes,17,,True
ldk,annsig_panic,encrypted_bytes,19,,True
ldk,annsig_panic,encrypted_bytes,20,,True
ldk,channel_ready,encrypted_bytes,5,,True
ldk,channel_ready,encrypted_bytes,2,,True
ldk,channel_ready,encrypted_bytes,3,,True
ldk,channel_ready,encrypted_bytes,4,,True
ldk,channel_ready,encrypted_bytes,1,,True
ldk,channel_ready,encrypted_bytes,6,,True
ldk,channel_ready,encrypted_bytes,7,,True
ldk,channel_ready,encrypted_bytes,8,,True
ldk,channel_ready,encrypted_bytes,9,,True
ldk,channel_ready,encrypted_bytes,10,,True
ldk,channel_ready,encrypted_bytes,15,,True
ldk,channel_ready,encrypted_bytes,12,,True
ldk,channel_ready,encrypted_bytes,13,,True
ldk,channel_ready,encrypted_bytes,14,,True
ldk,channel_ready,encrypted_bytes,11,,True
ldk,channel_ready,encrypted_bytes,16,,True
ldk,channel_ready,encrypted_bytes,17,,True
ldk,channel_ready,encrypted_bytes,18,,True
ldk,channel_ready,encrypted_bytes,19,,True
ldk,channel_ready,encrypted_bytes,20,,True
lnd,gossiper_deadlock,encrypted_bytes,4,40.845,False
lnd,gossiper_deadlock,encrypted_bytes,5,92.547,False
lnd,gossiper_deadlock,encrypted_bytes,1,215.928,False
lnd,gossiper_deadlock,encrypted_bytes,7,80.998,False
lnd,gossiper_deadlock,encrypted_bytes,6,210.431,False
lnd,gossiper_deadlock,encrypted_bytes,9,64.605,False
lnd,gossiper_deadlock,encrypted_bytes,8,170.474,False
lnd,gossiper_deadlock,encrypted_bytes,10,708.964,False
lnd,gossiper_deadlock,encrypted_bytes,2,1058.776,False
lnd,gossiper_deadlock,encrypted_bytes,3,1081.332,False
lnd,gossiper_deadlock,encrypted_bytes,14,35.127,False
lnd,gossiper_deadlock,encrypted_bytes,15,106.429,False
lnd,gossiper_deadlock,encrypted_bytes,11,239.68,False
lnd,gossiper_deadlock,encrypted_bytes,17,94.768,False
lnd,gossiper_deadlock,encrypted_bytes,16,176.762,False
lnd,gossiper_deadlock,encrypted_bytes,19,76.88,False
lnd,gossiper_deadlock,encrypted_bytes,18,139.789,False
lnd,gossiper_deadlock,encrypted_bytes,20,567.171,False
lnd,gossiper_deadlock,encrypted_bytes,12,931.723,False
lnd,gossiper_deadlock,encrypted_bytes,13,1221.905,False
lnd,malformed_tlv,encrypted_bytes,1,72.916,False
lnd,malformed_tlv,encrypted_bytes,2,9.644,False
lnd,malformed_tlv,encrypted_bytes,4,19.996,False
lnd,malformed_tlv,encrypted_bytes,3,151.847,False
lnd,malformed_tlv,encrypted_bytes,5,76.969,False
lnd,malformed_tlv,encrypted_bytes,6,105.614,False
lnd,malformed_tlv,encrypted_bytes,7,43.918,False
lnd,malformed_tlv,encrypted_bytes,8,52.582,False
lnd,malformed_tlv,encrypted_bytes,9,10.023,False
lnd,malformed_tlv,encrypted_bytes,10,36.816,False
lnd,malformed_tlv,encrypted_bytes,11,80.937,False
lnd,malformed_tlv,encrypted_bytes,14,17.197,False
lnd,malformed_tlv,encrypted_bytes,13,171.587,False
lnd,malformed_tlv,encrypted_bytes,15,88.514,False
lnd,malformed_tlv,encrypted_bytes,16,88.716,False
lnd,malformed_tlv,encrypted_bytes,12,8.487,False
